Scenario,Version,Case,Asset,Category,Unit,Basis,Account,CY2022,CY2023,CY2024,CY2025,CY2026,CY2027,CY2028,CY2029,CY2030,CY2031,CY2032,CY2033,CY2034,CY2035,CY2036,CY2037,CY2038,CY2039,CY2040,CY2041,CY2042,CY2043,CY2044,CY2045,CY2046,CY2047,CY2048,CY2049,CY2050,CY2051,CY2052,CY2053,CY2054,CY2055,CY2056,CY2057,CY2058,CY2059,CY2060,CY2061,CY2062,CY2063,CY2064,CY2065,CY2066,CY2067,CY2068,CY2069,CY2070,CY2071,CY2072,CY2073,CY2074,CY2075,CY2076,CY2077,CY2078,CY2079,CY2080,CY2081,CY2082
Gate,S,Case1,Arkansas,CAT_Default,USDM,STO_Nom_Input,CF,0,0,-3.362053452,-9.341658289,-39.00718907,-149.3733402,-97.63902139,-35.00996164,-21.0989047,24.82146146,121.575666,196.6600869,138.9133617,132.5718064,118.0833428,99.94203106,88.06514442,89.23965327,100.2384869,104.0086381,101.0872248,93.52939351,86.73771787,80.82505491,78.32928358,64.96072287,66.40647016,60.79381518,58.67256239,58.74153188,71.66816008,57.23216271,33.96195746,31.7021698,-0.307708225,16.46021539,7.598282746,-0.554828243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gate,S,Case1,Arkansas,CAT_Default,USDM,STO_Nom_Input,CF11,0,0,-0.855645995,-2.377461457,-9.942861597,-38.06876339,-25.15446544,-10.08340417,-7.582620086,3.811262767,34.54634193,56.99264534,40.06958407,38.53494867,34.57770338,29.36262207,25.88503589,26.26493827,29.5451145,30.66308155,29.82203203,27.60762533,25.60953644,23.86562444,23.12787688,19.16778359,19.60459472,17.94540769,17.32287994,17.15655965,21.00475184,16.73599747,9.842435217,9.180671676,-0.078312054,4.449480104,2.089277985,-0.141204348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gate,S,Case1,Arkansas,CAT_Default,USDM,STO_Nom_Input,CF12,0,0,-0.933218648,-2.593001524,-10.81048243,-41.404243,-26.76914578,-8.438147583,-3.442956497,9.622791983,29.81418264,47.01587227,33.41519641,31.56845747,27.84122386,23.45798996,20.65742321,20.89510522,23.42353181,24.29719999,23.59268202,21.81213127,20.22098115,18.84059268,18.25970176,15.15728619,15.48347762,14.17723186,13.67858855,13.89827567,16.87739931,13.51904262,8.119167433,7.586407513,-0.085411805,4.284984871,1.939480168,-0.154005899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gate,S,Case1,Arkansas,Legacy Capex,USDM,STO_Nom_Input,CX,0,0,-0.922474557,-2.545058603,-10.55326574,-40.66139367,-28.7358053,-27.26677245,-24.77034835,-12.6576487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gate,S,Case1,Arkansas,CAT_CAPEX,USDM,STO_Nom_Input,CX,0,0,-3.54546425,-9.781748693,-40.5607137,-156.2791261,-110.4439896,-104.7978681,-95.20304262,-48.64875746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gate,S,Case1,Arkansas,Legacy Capex,USDM,STO_Nom_Input,CX0003,0,0,0,0,0,0,-33.69243967,-103.3010119,-93.84323186,-47.95389412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gate,S,Case1,Arkansas,CAT_CAPEX,USDM,STO_Nom_Input,CX0003,0,0,0,0,0,0,-37.04452755,-113.5785125,-103.1797704,-52.72486555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gate,S,Case1,Arkansas,Legacy Capex,USDM,STO_Nom_Input,CX0004,0,0,-1.715125525,-4.731940778,-19.62132755,-75.60034436,-36.89254474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gate,S,Case1,Arkansas,CAT_CAPEX,USDM,STO_Nom_Input,CX0004,0,0,-4.036427573,-11.13629058,-46.17741757,-177.9201056,-86.82401531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gate,S,Case1,Arkansas,CAT_Default,USDM,STO_Nom_Input,OA,0,0,-5.628011836,-15.63775358,-65.2972729,-250.0480551,-163.4458154,-58.60599222,-35.31915451,41.55064186,203.5152911,329.2051458,232.5382553,221.9226155,197.6692104,167.3010087,147.4193323,149.3854372,167.7972699,174.1084295,169.2180406,156.5663786,145.1972462,135.2995638,131.1216914,108.7429818,111.1631345,101.7676596,98.21672389,98.33217746,119.9711007,95.80552294,56.8516537,53.06881328,-0.515097561,27.55407919,12.71937696,-0.928771646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
